13.3943 	INFO 	Loaded monitor calibration from ['2025_08_12 10:33']
13.9783 	INFO 	Using renderer 'Intel(R) Iris(R) Xe Graphics' for graphics
13.9784 	INFO 	OpenGL version supported by driver is 4..
14.0014 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C96AB90370>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C96AB902E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C96AC9F970>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 140.0], screen=0, size=array([1200,  800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.0015 	EXP 	window1: backgroundImage = ''
14.0016 	EXP 	window1: backgroundFit = 'none'
14.3137 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.3137 	EXP 	window1: recordFrameIntervals = False
14.4786 	EXP 	window1: recordFrameIntervals = True
14.6620 	EXP 	Screen (0) actual frame rate measured at 60.24Hz
14.6620 	EXP 	window1: recordFrameIntervals = False
14.8178 	INFO 	keyboard.Keyboard is using ptb backend.
14.8183 	INFO 	keyboard.Keyboard is using ptb backend.
14.8184 	EXP 	Stroop Task: status = STARTED
