delay,freq,condition,textbox.text,,,,,,delay,freq,condition,textbox.text,,,,,,,
0.7,1000,exp,300,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,200,,,,,,0.1,400,unexp,400,,,,,,,
0.7,1000,exp,900,,,,,,0.1,400,unexp,500,,,,,,,
0.7,1000,exp,700,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,100,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,600,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,800,,,,,,0.1,400,unexp,400,,,,,,,
0.7,1000,exp,600,,,,,,0.1,400,unexp,200,,,,,,,
0.7,1000,exp,500,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,600,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,300,,,,,,0.1,400,unexp,500,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,500,,,,,,,
0.7,1000,exp,400,,,,,,0.1,400,unexp,300,,,,,,,
0.7,1000,exp,300,,,,,,0.1,400,unexp,500,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,750,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,999,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,999,,,,,,,,,,,,,,,,
0.4,1000,exp,800,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,70,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,999,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,900,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,100,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,600,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,300,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.4,1000,exp,700,,,,,,,,,,,,,,,,
0.4,1000,exp,500,,,,,,,,,,,,,,,,
0.4,1000,exp,200,,,,,,,,,,,,,,,,
0.4,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,10,,,,,,,,,,,,,,,,
0.1,1000,exp,700,,,,,,,,,,,,,,,,
0.1,1000,exp,700,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,999,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,90,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,800,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,90,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,150,,,,,,,,,,,,,,,,
0.1,1000,exp,150,,,,,,,,,,,,,,,,
0.1,1000,exp,90,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,850,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,700,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,50,,,,,,,,,,,,,,,,
0.1,1000,exp,30,,,,,,,,,,,,,,,,
0.1,1000,exp,20,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,600,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,500,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,500,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,800,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,500,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,100,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,400,,,,,,,,,,,,,,,,
0.1,1000,exp,500,,,,,,,,,,,,,,,,
0.1,1000,exp,200,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
0.1,1000,exp,300,,,,,,,,,,,,,,,,
