reward_today,future_reward,delay,key_resp.keys,discounting,,,
84,185,40,l,0.030059524,,,
104,235,50,l,0.025192308,,,
72,155,34,l,0.033905229,,,
70,150,33,l,0.034632035,,,
88,195,42,l,0.028950216,,geomean,0.009493974
68,145,32,l,0.035386029,,,
102,230,49,l,0.025610244,,,
38,76,17,l,0.058823529,,,
86,190,41,l,0.029495179,,,
24,48,10,l,0.1,,,
40,80,18,l,0.055555556,,,
92,205,44,l,0.02791502,,,
56,115,26,l,0.040521978,,,
80,175,38,l,0.03125,,,
12,24,4,l,0.25,,,
12,25,5,l,0.216666667,,,
82,180,39,l,0.030644153,,,
90,200,43,l,0.028423773,,,
76,165,36,l,0.03252924,,,
66,140,31,l,0.036168133,,,
62,130,29,l,0.0378198,,,
54,110,25,l,0.041481481,,,
96,215,46,l,0.026947464,,,
118,270,57,l,0.02259887,,,
64,135,30,l,0.036979167,,,
94,210,45,l,0.027423168,,,
10,20,3,l,0.333333333,,,
34,68,15,l,0.066666667,,,
100,225,48,l,0.026041667,,,
114,260,55,l,0.023285486,,,
14,28,5,l,0.2,,,
112,255,54,l,0.02364418,,,
58,120,27,l,0.039591315,,,
108,245,52,l,0.024394587,,,
25,45,16,l,0.05,,,
98,220,47,l,0.026487191,,,
106,240,51,l,0.024787273,,,
66,90,100,t,0.003636364,0.009493974,,
50,76,65,t,0.008,,,
22,44,9,t,0.111111111,,,
110,250,53,t,0.024013722,,,
86,125,150,t,0.003023256,,,
116,265,56,t,0.022937192,,,
49,60,89,t,0.002522357,,,
37,65,40,t,0.018918919,,,
20,40,8,t,0.125,,,
100,160,185,t,0.003243243,,,
11,30,7,t,0.246753247,,,
96,150,175,t,0.003214286,,,
78,105,130,t,0.002662722,,,
60,125,28,t,0.038690476,,,
50,100,23,t,0.043478261,,,
72,96,115,t,0.002898551,,,
18,36,7,t,0.142857143,,,
78,80,162,t,0.000158278,,,
82,115,140,t,0.002874564,,,
28,56,12,t,0.083333333,,,
20,38,12,t,0.075,,,
47,74,60,t,0.009574468,,,
53,78,70,t,0.006738544,,,
68,92,105,t,0.003361345,,,
74,98,120,t,0.002702703,,,
76,100,125,t,0.002526316,,,
44,88,20,t,0.05,,,
58,82,80,t,0.005172414,,,
45,72,55,t,0.010909091,,,
32,64,14,t,0.071428571,,,
74,160,35,t,0.033204633,,,
35,60,35,t,0.020408163,,,
33,55,30,t,0.022222222,,,
18,32,9,t,0.086419753,,,
40,55,62,t,0.006048387,,,
36,72,16,t,0.0625,,,
92,140,165,t,0.003162055,,,
28,48,20,t,0.035714286,,,
60,84,85,t,0.004705882,,,
46,92,21,t,0.047619048,,,
55,80,75,t,0.006060606,,,
62,86,90,t,0.004301075,,,
98,155,180,t,0.003231293,,,
39,68,45,t,0.016524217,,,
64,88,95,t,0.003947368,,,
42,70,50,t,0.013333333,,,
94,145,170,t,0.003191489,,,
27,50,21,t,0.040564374,,,
48,96,22,t,0.045454545,,,
84,120,145,t,0.002955665,,,
16,32,6,t,0.166666667,,,
52,105,24,t,0.042467949,,,
42,84,19,t,0.052631579,,,
67,75,119,t,0.001003386,,,
88,130,155,t,0.003079179,,,
90,135,160,t,0.003125,,,
70,94,110,t,0.003116883,,,
30,52,25,t,0.029333333,,,
78,170,37,t,0.031878032,,,
30,60,13,t,0.076923077,,,
26,52,11,t,0.090909091,,,
15,35,13,t,0.102564103,,,
80,110,135,t,0.002777778,,,
